Wilayah-penduduk ,Jumlah penduduk
KABUPATEN BOGOR,45588960
KABUPATEN SUKABUMI ,24780990
KABUPATEN CIANJUR,23484120
KABUPATEN BANDUNG,34183750
KABUPATEN GARUT,25559240
KABUPATEN TASIKMALAYA,17940910
KABUPATEN CIAMIS,12670490
KABUPATEN KUNINGAN ,10772790
KABUPATEN CIREBON,23031050
KABUPATEN MAJALENGKA,12709380
KABUPATEN SUMEDANG,12219870
KABUPATEN INDRAMAYU,19043790
KABUPATEN SUBANG,15305630
KABUPATEN PURWAKARTA ,7965090
KABUPATEN KARAWANG ,20524060
KABUPATEN BEKASI,28071200
KABUPATEN BANDUNG BARAT,16644670
KABUPATEN PANGANDARAN,4613480
KOTA BANJAR,1039490
