Wilayah_kab_kota,Aksesoris,Batik,Bordir,Craft,Fashion,Konveksi,Kuliner,Makanan,Minuman,Jasa_dan_lainnya
KABUPATEN BOGOR,1110,1110,159,39644,38693,23628,170630,124801,23152,53916
KABUPATEN SUKABUMI,796,796,114,28435,27752,16947,122384,89513,16606,38671
KABUPATEN CIANJUR,742,742,106,26512,25875,15801,114106,83459,15483,36056
KABUPATEN BANDUNG ,1046,1046,149,37343,36447,22257,160725,117556,21808,50787
KABUPATEN GARUT,767,767,110,27393,26735,16326,117897,86232,15997,37254
KABUPATEN TASIKMALAYA,557,557,80,19880,19403,11848,85562,62581,11610,27036
KABUPATEN CIAMIS,414,414,59,14769,14415,8802,63566,46493,8625,20086
KABUPATEN KUNINGAN,281,281,40,10030,9789,5978,43168,31574,5857,13641
KABUPATEN CIREBON ,784,784,107,26702,26061,15914,114923,84056,15594,36314
KABUPATEN MAJALENGKA ,464,464,66,16579,16181,9881,71356,52190,9682,22547
KABUPATEN SUMEDANG ,344,344,49,12283,11988,7321,52867,38668,7173,16705
KABUPATEN INDRAMAYU,565,565,81,20195,19710,12036,86917,63572,11794,27465
KABUPATEN SUBANG ,502,502,72,17946,17516,10696,77241,56495,10481,24407
KABUPATEN PURWAKARTA ,258,258,37,9222,9001,5497,39693,29032,5386,12542
KABUPATEN KARAWANG ,691,691,99,24693,24101,14717,106280,77735,14421,33583
KABUPATEN BEKASI ,684,684,98,24422,23836,14556,105114,76881,14263,33214
KABUPATEN BANDUNG BARAT,463,463,66,16520,16124,9846,71103,52006,9648,22468
KABUPATEN PANGANDARAN,178,178,25,6373,6220,3798,27431,20063,3722,8668
KOTA SUKABUMI ,118,118,17,4226,4125,2519,18190,13304,2468,5748
KOTA BANDUNG,1018,1018,145,36356,35483,21668,156476,114449,21232,49444
KOTA CIREBON,119,119,17,4252,4150,2534,18300,13385,2483,5783
KOTA BEKASI,601,601,86,21464,20949,12793,92381,67569,12535,29191
KOTA DEPOK,481,481,69,17165,16753,10230,73879,54036,10024,23345
KOTA CIMAHI,168,168,24,6016,5871,3585,25891,18937,3513,8181
KOTA TASIKMALAYA,270,270,39,9631,9400,5740,41452,30319,5625,13098
KOTA BANJAR,77,77,11,2737,2672,1631,11782,8617,1599,3723
